time;approach;version;n_envs;max_mean_reward;mean_reward;epoch;epochs;attempt;total_timesteps;filename
1702439900.0595307;PPO;env;4;2.631433822306506;[2.62584503 2.62553754 2.63143382 2.62613332];77;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702440190.2617807;PPO;env;4;2.631601045846826;[2.62573498 2.62560054 2.63160105 2.62625972];78;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702440480.368565;PPO;env;4;2.6315545189301823;[2.62538493 2.6259385  2.63155452 2.62630079];79;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702440769.83523;PPO;env;4;2.631391576810963;[2.62574393 2.6260159  2.63139158 2.62632415];80;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702441061.6389287;PPO;env;4;2.6311144611606325;[2.62586261 2.62557152 2.63111446 2.62640984];81;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702441350.6488135;PPO;env;4;2.630979400247681;[2.62589017 2.62561245 2.6309794  2.62622718];82;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702441640.9842865;PPO;env;4;2.6308382673688016;[2.6263253  2.62537633 2.63083827 2.62639777];83;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702441932.2819643;PPO;env;4;2.6306826211864434;[2.62667468 2.62545124 2.63068262 2.62630004];84;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702442222.227572;PPO;env;4;2.630999268262025;[2.62662838 2.62561721 2.63099927 2.62621554];85;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702442512.2848516;PPO;env;4;2.6311511421107348;[2.6267559  2.62551739 2.63115114 2.62632038];86;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702442809.4811246;PPO;env;4;2.631181476759359;[2.62673617 2.62553425 2.63118148 2.62672254];87;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702443110.3907604;PPO;env;4;2.631183273982112;[2.62672392 2.62594593 2.63118327 2.62681529];88;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702443402.4688382;PPO;env;4;2.631449448671335;[2.62659816 2.62614139 2.63144945 2.62679888];89;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702443693.8451638;PPO;env;4;2.631576650971689;[2.62669421 2.62608086 2.63157665 2.62676815];90;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702443989.9740765;PPO;env;4;2.631569606072478;[2.62670329 2.62606274 2.63156961 2.62702482];91;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702444284.6138577;PPO;env;4;2.6315863300415736;[2.62630109 2.62611506 2.63158633 2.62690942];92;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702444580.5291529;PPO;env;4;2.6311520417965837;[2.62634698 2.62584371 2.63115204 2.62699394];93;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702444875.6388288;PPO;env;4;2.6310649275561215;[2.62659192 2.62591714 2.63106493 2.62685832];94;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702445171.1136932;PPO;env;4;2.631319103028032;[2.62656992 2.62593409 2.6313191  2.62680369];95;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702445466.761999;PPO;env;4;2.6311481470038856;[2.62670408 2.62598897 2.63114815 2.62706393];96;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702445764.245558;PPO;env;4;2.6310789096155847;[2.62666852 2.62615793 2.63107891 2.62718705];97;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702446060.3325994;PPO;env;4;2.6311533331123718;[2.62631053 2.62608212 2.63115333 2.62711027];98;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702446357.2677827;PPO;env;4;2.6312299563857273;[2.62631613 2.62604641 2.63122996 2.6269545 ];99;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
1702446651.6620598;PPO;env;4;2.631136128166188;[2.62622806 2.62627616 2.63113613 2.62697908];100;1000;0;10000.0;./weights/PPO-env-4-CLN.sav
